"model","converged","break_id","breakpoint","breakpoint_se","slope_before","slope_before_se","slope_after","slope_after_se","AIC","BIC","n_obs","davies_p_value","p_adj_bh"
"claude-3-5-haiku-20241022",TRUE,1,168.430726709529,11.6040751801716,0.062038,0.0038836,0.028717,4.9861e-05,14947.0895532793,14977.4938353775,3232,3.70220902846166e-14,3.70220902846166e-14
"claude-3-7-sonnet-20250219",TRUE,1,3632.07071956402,10.9101822343838,0.053496,9.0998e-05,0.029893,6.7736e-05,51038.0044691308,51072.9740898379,8054,0,0
"claude-sonnet-4-20250514",TRUE,1,3189.00002022099,19.3234712101741,0.042477,0.00011988,0.027533,7.1998e-05,49834.2231633267,49868.9478708655,7669,0,0
"deepseek-chat",TRUE,1,415.6,19.9419327945871,0.060989,0.0028849,0.025414,3.4881e-05,55911.548611561,55946.6644468833,8293,1.7363732710761e-58,1.86039993329583e-58
"deepseek-reasoner",TRUE,1,5038.42607990896,16.2401139889925,0.041312,5.094e-05,0.019822,0.0004939,37850.3234664743,37883.9412501877,6146,0,0
"gemini-1.5-pro",TRUE,1,3220.54215154122,15.7927117403345,0.039649,0.00011019,0.021084,0.0001183,40002.1867699626,40035.9211465605,6291,0,0
"gemini-2.0-flash",TRUE,1,3394.49482736953,9.80543210398681,0.049576,0.00013526,0.012726,0.0001076,50888.1587957928,50922.6690325209,7347,0,0
"gemini-2.5-flash",TRUE,1,4996.68780394789,14.5583835804218,0.05486,9.1935e-05,0.029205,8.9717e-05,73679.9922918857,73716.0808575172,10074,0,0
"gemini-2.5-pro",TRUE,1,1121.52273374391,11.4081578752633,0.10766,0.0011575,0.038541,4.1057e-05,90848.486917497,90885.2396025093,11505,0,0
"gpt-3.5-turbo",TRUE,1,1054.40350149246,8.57857923582367,0.083528,0.00052651,0.041777,6.5791e-05,32346.4456615569,32379.2955384412,5271,0,0
"gpt-4o",TRUE,1,2588.65515518236,6.23835086280622,0.075795,0.00016065,0.02513,0.00010094,39493.2759675296,39526.8692853648,6116,0,0
"gpt-4o-mini",TRUE,1,584.240086015974,8.37067934027991,0.13015,0.0017829,0.054537,6.5064e-05,40092.8657492187,40126.2725031066,5892,0,0
"o1",TRUE,1,2109.50230644284,6.28165490406637,0.092644,0.00021439,0.042766,6.2693e-05,44274.2972059107,44308.4906899724,6896,0,0
"o3",TRUE,1,6466.53603554466,12.7737371341277,0.081046,0.00019946,0.014715,3.1915e-05,273721.24776884,273762.519371165,28405,0,0
"o4-mini",TRUE,1,3931.34469484898,14.1261404155548,0.07035,0.00014474,0.039241,0.00010157,66839.0050744156,66874.4791608192,8909,0,0
