model,lm_estimate,lm_rank,gamma_estimate,gamma_rank
gemini-2.5-pro,-42.40884806917733,1,-1.3788051441468459,1
gemini-2.5-flash,-39.32604931854469,2,-1.183314396715314,2
gpt-3.5-turbo:task3,-35.183707626916956,3,-0.4141379822791731,5
o1,-32.38844890169007,4,-0.8471240417309647,3
o4-mini,-29.402409557434815,5,-0.7312194680804247,4
o3,-18.91507031321822,6,-0.4059771252465762,6
claude-3-7-sonnet-20250219,-16.831802623285633,7,-0.3522907747070348,7
deepseek-reasoner,-14.374006534217537,8,-0.292449638707521,8
deepseek-chat:task3,-12.632744271328779,9,-0.24263435832152952,12
gemini-1.5-pro:task3,-12.362238480830568,10,-0.21879353705485097,14
claude-sonnet-4-20250514,-12.343187436336711,11,-0.2455708571787689,10
gemini-2.0-flash,-12.335127472503295,12,-0.24538911368524366,11
deepseek-reasoner:task2,-11.910447950559034,13,-0.26858755040440624,9
deepseek-chat,-11.785456144375136,14,-0.23307191329934998,13
gpt-4o-mini:task3,-9.153888190621188,15,-0.15734237702685422,18
gemini-2.5-pro:task3,-8.96263748870556,16,-0.21283850215688563,15
o3:task3,-8.786765541627668,17,-0.15519491945245523,20
claude-sonnet-4-20250514:task2,-8.739333983378437,18,-0.1766400671712104,16
gemini-2.0-flash:task3,-8.668669326810972,19,-0.14857345026212693,22
deepseek-reasoner:task3,-8.585643816986035,20,-0.14751714706642666,23
gemini-1.5-pro:task2,-8.58419500341603,21,-0.15642385537411885,19
gpt-4o-mini,-8.538611314586557,22,-0.16325668316228345,17
o4-mini:task3,-8.516021117120491,23,-0.1551419719417478,21
claude-sonnet-4-20250514:task3,-8.31747928281679,24,-0.1405346210219823,25
gemini-2.5-flash:task3,-7.881783576619167,25,-0.13293320889988883,26
o3:task2,-6.971383939936634,26,-0.1437302680460107,24
deepseek-chat:task2,-6.667892832465719,27,-0.12568243685893904,28
claude-3-7-sonnet-20250219:task2,-6.624985441133356,28,-0.1309039512729307,27
o1:task3,-6.426840426013627,29,-0.0735545025607547,34
gpt-4o:task3,-5.7025975664278015,30,-0.08976869668225669,29
gemini-2.0-flash:task2,-4.713764952636455,31,-0.0810488355420592,31
gemini-2.5-pro:task2,-4.6904006361370865,32,-0.08832512652654136,30
gpt-3.5-turbo:task2,-4.663822816811478,33,-0.0780733029544736,32
gpt-4o-mini:task2,-4.22282386681723,34,-0.07053197420937432,35
gpt-4o,-4.091584323956999,35,-0.07491570426556231,33
gemini-1.5-pro,-3.6581959652861937,36,-0.06670945486283539,36
o1:task2,-3.2424519078099565,37,-0.025309412263833778,37
claude-3-7-sonnet-20250219:task3,-2.465086462958703,38,-0.0031828945125899288,38
gemini-2.5-flash:task2,-2.2147340370932436,39,0.04821257687672497,41
o4-mini:task2,-1.2786125716707355,40,0.03565847914097429,40
gpt-4o:task2,-0.15620341857301895,41,0.0029986707430460016,39
gpt-3.5-turbo,53.68316315973225,42,0.6662934167976928,42
