effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),2.3262989664604996,0.03389467226229441,68.63317480866614,0
fixed,cond,NA,sourceclaude-3-7-sonnet-20250219,0.9260111447235843,0.04132771832417872,22.40653929790803,3.398443276315231e-111
fixed,cond,NA,sourceclaude-sonnet-4-20250514,0.8425480161365773,0.04173312744442068,20.188949827895485,1.2243933162289614e-90
fixed,cond,NA,sourcedeepseek-chat,0.8592245287826276,0.04164971183690908,20.629783277904966,1.4831326036973242e-94
fixed,cond,NA,sourcedeepseek-reasoner,0.6694341517988849,0.04267473157141201,15.686897776466433,1.8592231717447847e-55
fixed,cond,NA,sourcegemini-1.5-pro,0.782764482168214,0.04204237012225883,18.618467034373705,2.2763772450500065e-77
fixed,cond,NA,sourcegemini-2.0-flash,0.8723767286270421,0.041584800794993805,20.978259170404957,1.0361766316271093e-97
fixed,cond,NA,sourcegemini-2.5-flash,1.2276187038472448,0.04009059902710407,30.621111523359584,6.409293115340017e-206
fixed,cond,NA,sourcegemini-2.5-pro,1.2956404999780486,0.03985525158043372,32.50865189906672,8.046810444185359e-232
fixed,cond,NA,sourcegpt-3.5-turbo,0.5920118709359868,0.0431437319668463,13.721851215627728,7.512253364537689e-43
fixed,cond,NA,sourcegpt-4o,0.6649244085605162,0.04270120311294836,15.571561456985973,1.1359982925591687e-54
fixed,cond,NA,sourcegpt-4o-mini,0.6430933687788165,0.04283081409295829,15.014736058555235,5.87954415353742e-51
fixed,cond,NA,sourceo1,0.8238725024881403,0.04182799642237411,19.696676220605315,2.302483871524286e-86
fixed,cond,NA,sourceo3,2.179492820725705,0.03783624477917622,57.603306920279344,0
fixed,cond,NA,sourceo4-mini,1.0698856858790384,0.04069571734683167,26.289883939405076,2.5030703890193943e-152
fixed,cond,NA,task2,0.07974414400036345,0.047147075746912404,1.6913910934462522,0.09076213223417147
fixed,cond,NA,task3,0.07068877107346586,0.047233988250661725,1.4965657928001779,0.13450627649370064
fixed,cond,NA,sourceclaude-3-7-sonnet-20250219:task2,0.019956199027392603,0.05748392738653913,0.3471613707463157,0.7284700898542451
fixed,cond,NA,sourceclaude-sonnet-4-20250514:task2,0.09073356042253769,0.057814751585953415,1.5693842476801747,0.11655843226611716
fixed,cond,NA,sourcedeepseek-chat:task2,0.022015236010261778,0.057918329686702616,0.38010826847646856,0.7038650482749633
fixed,cond,NA,sourcedeepseek-reasoner:task2,-0.00370919676011644,0.05942059031598057,-0.062422751783381206,0.9502261769856443
fixed,cond,NA,sourcegemini-1.5-pro:task2,-0.19758580050172125,0.05929673929528496,-3.332152878049274,8.617690214879688e-4
fixed,cond,NA,sourcegemini-2.0-flash:task2,-0.04999322144316531,0.058066987808282955,-0.8609577202148935,0.38926132960291776
fixed,cond,NA,sourcegemini-2.5-flash:task2,-0.13050999467376093,0.056165485744190724,-2.323668939109278,0.02014324443409747
fixed,cond,NA,sourcegemini-2.5-pro:task2,0.0856843478716857,0.05532879012923253,1.5486394636779715,0.12146841367703196
fixed,cond,NA,sourcegpt-3.5-turbo:task2,-0.23236283193623772,0.061130919756606145,-3.8010688021936283,1.440732865333143e-4
