pricing_key,total_points,total_cost,usd_per_point_outonly,usd_for_1000_outonly
NA,6261,0,0,0
gemini-2.0-flash,10741,0.07886783999999997,7.342690624709055e-6,0.007342690624709055
gpt-4o-mini,8618,0.08709695999999997,1.0106400556973772e-5,0.010106400556973772
gpt-3.5-turbo,7555,0.10626479999999988,1.4065493050959613e-5,0.014065493050959613
deepseek-chat,11638,0.24590455999999997,2.1129451795841208e-5,0.021129451795841206
deepseek-reasoner,9981,0.4821433920000006,4.830612082957626e-5,0.048306120829576256
gemini-1.5-pro,9652,0.7795120000000005,8.076170741815173e-5,0.08076170741815174
gemini-2.5-flash,13724,1.615294000000001,1.1769848440687852e-4,0.11769848440687852
o4-mini,12360,1.6711728000000008,1.352081553398059e-4,0.1352081553398059
gpt-4o,9118,1.3403839999999996,1.4700416758060974e-4,0.14700416758060975
o3,32611,6.1294080000000015,1.8795522983042537e-4,0.18795522983042537
claude-sonnet-4,11332,3.2065440000000014,2.829636427815038e-4,0.2829636427815038
claude-3-7-sonnet,11618,3.444144,2.964489585126528e-4,0.2964489585126528
gemini-2.5-pro,15776,9.325559999999998,5.911232251521296e-4,0.5911232251521297
o1,10173,19.97937600000001,0.0019639610734296675,1.9639610734296675
