contrast,task,estimate,SE,df,z.ratio,p.value
(claude-3-5-haiku-20241022) - (claude-3-7-sonnet-20250219),1,-0.25889859557332473,0.06842438316210396,Inf,-3.783718370686207,0.012954083455153032
(claude-3-5-haiku-20241022) - (claude-sonnet-4-20250514),1,-0.27506684632622036,0.06817363439442557,Inf,-4.03479803841457,0.004900633680808952
(claude-3-5-haiku-20241022) - (deepseek-chat),1,-0.2670161416378843,0.06829737873440901,Inf,-3.909610391875237,0.008037283358414027
(claude-3-5-haiku-20241022) - (deepseek-reasoner),1,-0.2770664697537805,0.06814965799817442,Inf,-4.065559210307446,0.004326693888966782
(claude-3-5-haiku-20241022) - (gemini-1.5-pro),1,-0.10745911278516669,0.07081245957571126,Inf,-1.5175170221318688,0.9739549155591901
(claude-3-5-haiku-20241022) - (gemini-2.0-flash),1,-0.20017989250535304,0.06931527776528487,Inf,-2.8879620620320012,0.2016691388410441
(claude-3-5-haiku-20241022) - (gemini-2.5-flash),1,-0.2548174957074349,0.06847644618113256,Inf,-3.721242995487771,0.016290314244067794
(claude-3-5-haiku-20241022) - (gemini-2.5-pro),1,-0.27706576731210886,0.06814982229560113,Inf,-4.06553910163303,0.00432704785874527
(claude-3-5-haiku-20241022) - (gpt-3.5-turbo),1,0.05702082405956997,0.07374199118657784,Inf,0.7732476861832912,0.9999838711213158
(claude-3-5-haiku-20241022) - (gpt-4o),1,-0.08104022540078942,0.07125475952414169,Inf,-1.137330698215778,0.9984942946491806
(claude-3-5-haiku-20241022) - (gpt-4o-mini),1,0.013293820342962344,0.0729239545921251,Inf,0.18229703006805825,1
(claude-3-5-haiku-20241022) - o1,1,-0.031161084672002164,0.07212805570501572,Inf,-0.43202446492447527,0.9999999920828304
(claude-3-5-haiku-20241022) - o3,1,-0.26296336248728597,0.06834797730036578,Inf,-3.8474198194871625,0.01020069985072325
(claude-3-5-haiku-20241022) - (o4-mini),1,-0.16724108816280087,0.06982988417207855,Inf,-2.394978742205506,0.5184833843909231
(claude-3-7-sonnet-20250219) - (claude-sonnet-4-20250514),1,-0.01616825075289563,0.06356553791446859,Inf,-0.25435560341912034,0.9999999999944434
(claude-3-7-sonnet-20250219) - (deepseek-chat),1,-0.008117546064559555,0.06369324014327658,Inf,-0.12744752891043554,1
(claude-3-7-sonnet-20250219) - (deepseek-reasoner),1,-0.01816787418045579,0.06353449958585405,Inf,-0.28595289644023364,0.9999999999720136
