contrast,task,estimate,SE,df,z.ratio,p.value
(claude-3-5-haiku-20241022) - (claude-3-7-sonnet-20250219),1,-0.9260111447235843,0.04132771832417872,Inf,-22.40653929790803,0
(claude-3-5-haiku-20241022) - (claude-sonnet-4-20250514),1,-0.8425480161365773,0.04173312744442068,Inf,-20.188949827895485,0
(claude-3-5-haiku-20241022) - (deepseek-chat),1,-0.8592245287826276,0.04164971183690908,Inf,-20.629783277904966,0
(claude-3-5-haiku-20241022) - (deepseek-reasoner),1,-0.6694341517988849,0.04267473157141201,Inf,-15.686897776466433,0
(claude-3-5-haiku-20241022) - (gemini-1.5-pro),1,-0.782764482168214,0.04204237012225883,Inf,-18.618467034373705,0
(claude-3-5-haiku-20241022) - (gemini-2.0-flash),1,-0.8723767286270421,0.041584800794993805,Inf,-20.978259170404957,0
(claude-3-5-haiku-20241022) - (gemini-2.5-flash),1,-1.2276187038472448,0.04009059902710407,Inf,-30.621111523359584,0
(claude-3-5-haiku-20241022) - (gemini-2.5-pro),1,-1.2956404999780486,0.03985525158043372,Inf,-32.50865189906672,0
(claude-3-5-haiku-20241022) - (gpt-3.5-turbo),1,-0.5920118709359868,0.0431437319668463,Inf,-13.721851215627728,0
(claude-3-5-haiku-20241022) - (gpt-4o),1,-0.6649244085605162,0.04270120311294836,Inf,-15.571561456985973,0
(claude-3-5-haiku-20241022) - (gpt-4o-mini),1,-0.6430933687788165,0.04283081409295829,Inf,-15.014736058555235,0
(claude-3-5-haiku-20241022) - o1,1,-0.8238725024881403,0.04182799642237411,Inf,-19.696676220605315,0
(claude-3-5-haiku-20241022) - o3,1,-2.179492820725705,0.03783624477917622,Inf,-57.603306920279344,0
(claude-3-5-haiku-20241022) - (o4-mini),1,-1.0698856858790384,0.04069571734683167,Inf,-26.289883939405076,0
(claude-3-7-sonnet-20250219) - (claude-sonnet-4-20250514),1,0.083463128587007,0.033940192455286095,Inf,2.4591236097722198,0.4703376143438076
(claude-3-7-sonnet-20250219) - (deepseek-chat),1,0.0667866159409567,0.03383757133290364,Inf,1.97374141553751,0.8141577225412041
(claude-3-7-sonnet-20250219) - (deepseek-reasoner),1,0.2565769929246994,0.035091529637539615,Inf,7.31165029210419,2.7796320800632657e-11
(claude-3-7-sonnet-20250219) - (gemini-1.5-pro),1,0.14324666255537022,0.034319726442782056,Inf,4.173887073202389,0.0027646836902204264
(claude-3-7-sonnet-20250219) - (gemini-2.0-flash),1,0.05363441609654218,0.033757642020273516,Inf,1.5888081301511359,0.9614197735970484
(claude-3-7-sonnet-20250219) - (gemini-2.5-flash),1,-0.30160755912366055,0.03189888505830896,Inf,-9.455112884740103,1.3322676295501878e-13
(claude-3-7-sonnet-20250219) - (gemini-2.5-pro),1,-0.3696293552544644,0.031602591921386786,Inf,-11.696172142270422,0
(claude-3-7-sonnet-20250219) - (gpt-3.5-turbo),1,0.3339992737875974,0.03566040304930076,Inf,9.366110453823,1.4588330543574557e-13
(claude-3-7-sonnet-20250219) - (gpt-4o),1,0.2610867361630681,0.03512371684352435,Inf,7.433345887800137,1.1211254147269756e-11
(claude-3-7-sonnet-20250219) - (gpt-4o-mini),1,0.28291777594476775,0.03528117590834397,Inf,8.018944059000537,3.1019631308026874e-13
(claude-3-7-sonnet-20250219) - o1,1,0.102138642235444,0.034056776452272015,Inf,2.9990695795470703,0.15355504794230446
(claude-3-7-sonnet-20250219) - o3,1,-1.2534816760021208,0.029014895426332045,Inf,-43.201316344036925,0
(claude-3-7-sonnet-20250219) - (o4-mini),1,-0.14387454115545417,0.032656150232156456,Inf,-4.40574103599576,0.001011315240014632
(claude-sonnet-4-20250514) - (deepseek-chat),1,-0.0166765126460503,0.03433154319455021,Inf,-0.4857489962378834,0.9999999616923333
(claude-sonnet-4-20250514) - (deepseek-reasoner),1,0.17311386433769238,0.0355680907093501,Inf,4.867111528485402,1.139524437512307e-4
(claude-sonnet-4-20250514) - (gemini-1.5-pro),1,0.05978353396836322,0.034806856329058604,Inf,1.7175792436748378,0.9281939600342778
(claude-sonnet-4-20250514) - (gemini-2.0-flash),1,-0.029828712490464815,0.03425276659151882,Inf,-0.8708409701962754,0.9999304847619375
(claude-sonnet-4-20250514) - (gemini-2.5-flash),1,-0.38507068771066755,0.032422407257506114,Inf,-11.876684067668041,0
(claude-sonnet-4-20250514) - (gemini-2.5-pro),1,-0.4530924838414714,0.03213094210499519,Inf,-14.101437871348068,0
(claude-sonnet-4-20250514) - (gpt-3.5-turbo),1,0.2505361452005904,0.036129461247654863,Inf,6.934400252559884,4.2817371870285115e-10
(claude-sonnet-4-20250514) - (gpt-4o),1,0.1776236075760611,0.03559984704054074,Inf,4.989448616837739,6.142843141920817e-5
(claude-sonnet-4-20250514) - (gpt-4o-mini),1,0.19945464735776075,0.0357552093809893,Inf,5.578338116621654,2.520365372515876e-6
(claude-sonnet-4-20250514) - o1,1,0.018675513648437003,0.034547614197273965,Inf,0.5405731794327674,0.9999998408846813
(claude-sonnet-4-20250514) - o3,1,-1.3369448045891277,0.029589487677351516,Inf,-45.18310080821225,0
(claude-sonnet-4-20250514) - (o4-mini),1,-0.22733766974246117,0.03316772184507592,Inf,-6.854184040867784,7.526024248249996e-10
(deepseek-chat) - (deepseek-reasoner),1,0.18979037698374268,0.03547017967982093,Inf,5.350702440667783,9.036358779024312e-6
(deepseek-chat) - (gemini-1.5-pro),1,0.07646004661441352,0.03470679785467296,Inf,2.2030279755157203,0.662779083251581
(deepseek-chat) - (gemini-2.0-flash),1,-0.013152199844414514,0.03415108474099831,Inf,-0.3851180700162453,0.9999999983346131
(deepseek-chat) - (gemini-2.5-flash),1,-0.36839417506461725,0.03231496653530762,Inf,-11.40011005928496,0
(deepseek-chat) - (gemini-2.5-pro),1,-0.4364159711954211,0.03202252348530837,Inf,-13.628406624345038,0
(deepseek-chat) - (gpt-3.5-turbo),1,0.2672126578466407,0.03603307563689286,Inf,7.4157604679477345,1.2789880265984266e-11
(deepseek-chat) - (gpt-4o),1,0.1943001202221114,0.03550202359191272,Inf,5.472930851929593,4.58239295797469e-6
(deepseek-chat) - (gpt-4o-mini),1,0.21613116000381105,0.035657812155178215,Inf,6.061256901103075,1.412033533432222e-7
(deepseek-chat) - o1,1,0.035352026294487304,0.034446802704143055,Inf,1.0262788856811775,0.9995203498461354
(deepseek-chat) - o3,1,-1.3202682919430773,0.029471721205528354,Inf,-44.79780066918586,0
(deepseek-chat) - (o4-mini),1,-0.21066115709641087,0.03306270318955572,Inf,-6.3715648381393475,1.9603307421789395e-8
(deepseek-reasoner) - (gemini-1.5-pro),1,-0.11333033036932916,0.03593043328314038,Inf,-3.154159858754253,0.10142276185394272
(deepseek-reasoner) - (gemini-2.0-flash),1,-0.2029425768281572,0.03539393744097268,Inf,-5.733823120601074,1.0222865430842276e-6
(deepseek-reasoner) - (gemini-2.5-flash),1,-0.5581845520483599,0.03362575323724066,Inf,-16.59991221936906,0
(deepseek-reasoner) - (gemini-2.5-pro),1,-0.6262063481791638,0.0333448081259562,Inf,-18.779725641657343,0
(deepseek-reasoner) - (gpt-3.5-turbo),1,0.07742228086289804,0.03721312615794108,Inf,2.080509993551739,0.7482686591385747
(deepseek-reasoner) - (gpt-4o),1,0.004509743238368724,0.03669915391002258,Inf,0.1228841201468982,1
(deepseek-reasoner) - (gpt-4o-mini),1,0.02634078302006837,0.03684988176753395,Inf,0.7148132302360746,0.9999940017256495
(deepseek-reasoner) - o1,1,-0.15443835068925538,0.03567935586759229,Inf,-4.328507253953325,0.0014237042905863584
(deepseek-reasoner) - o3,1,-1.51005866892682,0.030903342366303377,Inf,-48.863927112731,0
(deepseek-reasoner) - (o4-mini),1,-0.40045153408015355,0.03434496412566485,Inf,-11.659687068384777,0
(gemini-1.5-pro) - (gemini-2.0-flash),1,-0.08961224645882804,0.034628874922208175,Inf,-2.5877897176889784,0.37792859277354496
(gemini-1.5-pro) - (gemini-2.5-flash),1,-0.44485422167903077,0.03281949803968917,Inf,-13.554571161967836,0
(gemini-1.5-pro) - (gemini-2.5-pro),1,-0.5128760178098346,0.032531590796634514,Inf,-15.765476118766781,0
(gemini-1.5-pro) - (gpt-3.5-turbo),1,0.1907526112322272,0.03648622930985748,Inf,5.22807138036299,1.758595401857299e-5
(gemini-1.5-pro) - (gpt-4o),1,0.11784007360769788,0.035961869647103295,Inf,3.2768060939009,0.07110330197909787
(gemini-1.5-pro) - (gpt-4o-mini),1,0.13967111338939753,0.03611567467296429,Inf,3.867326712131269,0.009456467876696184
(gemini-1.5-pro) - o1,1,-0.04110802031992622,0.03492054704510029,Inf,-1.1771871805683554,0.9978192832507154
(gemini-1.5-pro) - o3,1,-1.396728338557491,0.03002406934799715,Inf,-46.52028751894233,0
(gemini-1.5-pro) - (o4-mini),1,-0.2871212037108244,0.03355599397422046,Inf,-8.556480369242124,1.389999226830696e-13
(gemini-2.0-flash) - (gemini-2.5-flash),1,-0.35524197522020273,0.032231261583106297,Inf,-11.02165902827705,9.658940314238862e-14
(gemini-2.0-flash) - (gemini-2.5-pro),1,-0.42326377135100657,0.03193805209183928,Inf,-13.25264828718711,0
(gemini-2.0-flash) - (gpt-3.5-turbo),1,0.28036485769105524,0.035958026932978435,Inf,7.797003384352056,7.502887200416808e-13
(gemini-2.0-flash) - (gpt-4o),1,0.20745232006652592,0.03542584988644112,Inf,5.855958875553362,4.946862337540381e-7
(gemini-2.0-flash) - (gpt-4o-mini),1,0.22928335984822557,0.035581971962561264,Inf,6.443806995561504,1.2211053390664972e-8
(gemini-2.0-flash) - o1,1,0.04850422613890182,0.03436829029192601,Inf,1.4113075083719455,0.9865189083538639
(gemini-2.0-flash) - o3,1,-1.3071160920986629,0.029379916811910618,Inf,-44.490122299078735,0
(gemini-2.0-flash) - (o4-mini),1,-0.19750895725199635,0.032980896034816784,Inf,-5.988586757724624,2.2113880115970375e-7
(gemini-2.5-flash) - (gemini-2.5-pro),1,-0.06802179613080384,0.02996664219794101,Inf,-2.26991718596612,0.6131935362174519
(gemini-2.5-flash) - (gpt-3.5-turbo),1,0.635606832911258,0.03421900311387468,Inf,18.57467415973729,0
(gemini-2.5-flash) - (gpt-4o),1,0.5626942952867287,0.03365934214112853,Inf,16.717328964049166,0
(gemini-2.5-flash) - (gpt-4o-mini),1,0.5845253350684283,0.03382361899539279,Inf,17.281572830750257,0
(gemini-2.5-flash) - o1,1,0.40374620135910455,0.0325444288748421,Inf,12.406000514306566,0
(gemini-2.5-flash) - o3,1,-0.9518741168784601,0.027223886296227507,Inf,-34.96466692965743,0
(gemini-2.5-flash) - (o4-mini),1,0.15773301796820638,0.031075713611340147,Inf,5.075764950757123,3.9343595701013534e-5
(gemini-2.5-pro) - (gpt-3.5-turbo),1,0.7036286290420618,0.03394296867237534,Inf,20.729731563365394,0
(gemini-2.5-pro) - (gpt-4o),1,0.6307160914175325,0.03337867974558217,Inf,18.895777071620422,0
(gemini-2.5-pro) - (gpt-4o-mini),1,0.6525471311992321,0.03354433111759065,Inf,19.4532759920509,0
(gemini-2.5-pro) - o1,1,0.4717679974899084,0.03225406639436231,Inf,14.626620771524447,0
(gemini-2.5-pro) - o3,1,-0.8838523207476563,0.026876103386753194,Inf,-32.886178030677364,0
(gemini-2.5-pro) - (o4-mini),1,0.22575481409901021,0.030771495326687274,Inf,7.3364915062551175,2.3113844171973597e-11
(gpt-3.5-turbo) - (gpt-4o),1,-0.07291253762452932,0.03724347984611811,Inf,-1.957726236264386,0.8231877050671879
(gpt-3.5-turbo) - (gpt-4o-mini),1,-0.05108149784282967,0.0373920135807003,Inf,-1.3661071697191276,0.9901063688299749
(gpt-3.5-turbo) - o1,1,-0.23186063155215342,0.036239002862438474,Inf,-6.39809633924767,1.6485041332003902e-8
(gpt-3.5-turbo) - o3,1,-1.5874809497897182,0.031547828177947095,Inf,-50.31981728933773,0
(gpt-3.5-turbo) - (o4-mini),1,-0.4778738149430516,0.034925999686900334,Inf,-13.682466335309718,0
(gpt-4o) - (gpt-4o-mini),1,0.021831039781699646,0.03688053441698578,Inf,0.591939355728129,0.9999994740979699
(gpt-4o) - o1,1,-0.1589480939276241,0.03571101325540356,Inf,-4.450954465806794,8.251766280259476e-4
(gpt-4o) - o3,1,-1.5145684121651888,0.030939886910109866,Inf,-48.95196988164462,0
(gpt-4o) - (o4-mini),1,-0.4049612773185223,0.03437785033120709,Inf,-11.779714944855398,0
(gpt-4o-mini) - o1,1,-0.18077913370932375,0.03586589405403219,Inf,-5.040418996302695,4.7263096932703696e-05
(gpt-4o-mini) - o3,1,-1.5363994519468884,0.03111852327121466,Inf,-49.372505197510215,0
(gpt-4o-mini) - (o4-mini),1,-0.4267923171002219,0.03453870990592715,Inf,-12.356927003431029,0
o1 - o3,1,-1.3556203182375648,0.029723141479759938,Inf,-45.60824498179906,0
o1 - (o4-mini),1,-0.24601318339089817,0.03328701144306169,Inf,-7.390665990298054,1.5431211863869976e-11
o3 - (o4-mini),1,1.1096071348466665,0.028107388087330796,Inf,39.47741894049607,0
(claude-3-5-haiku-20241022) - (claude-3-7-sonnet-20250219),2,-0.9459673437509769,0.03995524503616531,Inf,-23.675673691770353,0
(claude-3-5-haiku-20241022) - (claude-sonnet-4-20250514),2,-0.9332815765591149,0.0400111431311243,Inf,-23.325541424811824,0
(claude-3-5-haiku-20241022) - (deepseek-chat),2,-0.8812397647928893,0.04024716657851727,Inf,-21.895697006985547,0
(claude-3-5-haiku-20241022) - (deepseek-reasoner),2,-0.6657249550387685,0.041348202364903205,Inf,-16.100457020202718,0
(claude-3-5-haiku-20241022) - (gemini-1.5-pro),2,-0.5851786816664928,0.04181557611173733,Inf,-13.994275245731636,0
(claude-3-5-haiku-20241022) - (gemini-2.0-flash),2,-0.8223835071838768,0.040527514307712086,Inf,-20.29197993589711,0
(claude-3-5-haiku-20241022) - (gemini-2.5-flash),2,-1.097108709173484,0.03933580631599056,Inf,-27.890840735797852,0
(claude-3-5-haiku-20241022) - (gemini-2.5-pro),2,-1.3813248478497344,0.0383775186617019,Inf,-35.9930734455795,0
(claude-3-5-haiku-20241022) - (gpt-3.5-turbo),2,-0.3596490389997491,0.04330828722384007,Inf,-8.304393040087065,1.744160371686121e-13
(claude-3-5-haiku-20241022) - (gpt-4o),2,-0.6531331384395683,0.041419143469226094,Inf,-15.768871196596281,0
