contrast,task,estimate,SE,df,z.ratio,p.value
(claude-3-5-haiku-20241022) - (claude-3-7-sonnet-20250219),1,-18.209999999999738,1.2355931975953327,Inf,-14.737860353585136,2.9461490321210383e-47
(claude-3-5-haiku-20241022) - (claude-sonnet-4-20250514),1,-16.469999999999718,1.235593197595332,Inf,-13.329629874988832,1.1986439573609922e-38
(claude-3-5-haiku-20241022) - (deepseek-chat),1,-15.659999999999721,1.2355931975953316,Inf,-12.674074307366427,5.927386367657297e-35
(claude-3-5-haiku-20241022) - (deepseek-reasoner),1,-13.429999999999731,1.235593197595332,Inf,-10.86927317675164,1.081930197647853e-25
(claude-3-5-haiku-20241022) - (gemini-1.5-pro),1,-12.899999999999745,1.2355931975953323,Inf,-10.440329410282663,1.0546036655405155e-23
(claude-3-5-haiku-20241022) - (gemini-2.0-flash),1,-15.969999999999722,1.2355931975953316,Inf,-12.924965944357721,2.440805174431109e-36
(claude-3-5-haiku-20241022) - (gemini-2.5-flash),1,-27.23999999999973,1.235593197595332,Inf,-22.046090940783145,9.372622853886437e-106
(claude-3-5-haiku-20241022) - (gemini-2.5-pro),1,-32.31999999999974,1.2355931975953318,Inf,-26.157476475995328,7.37331887466693e-149
(claude-3-5-haiku-20241022) - (gpt-3.5-turbo),1,-5.6399999999997394,1.2355931975953327,Inf,-4.56460913751881,1.801532936153072e-4
(claude-3-5-haiku-20241022) - (gpt-4o),1,-10.159999999999737,1.2355931975953316,Inf,-8.222771070424129,1.0936980507264235e-14
(claude-3-5-haiku-20241022) - (gpt-4o-mini),1,-8.85999999999973,1.2355931975953318,Inf,-7.170644850783211,3.806911257797496e-11
(claude-3-5-haiku-20241022) - o1,1,-13.899999999999741,1.235593197595332,Inf,-11.2496572715449,1.6042065110106127e-27
(claude-3-5-haiku-20241022) - o3,1,-84.85999999999972,1.2355931975953325,Inf,-68.67956230671327,0
(claude-3-5-haiku-20241022) - (o4-mini),1,-21.559999999999732,1.2355931975953325,Inf,-17.44910868881363,2.9719925353758164e-66
(claude-3-7-sonnet-20250219) - (claude-sonnet-4-20250514),1,1.7400000000000198,1.235593197595341,Inf,1.4082304785963,1
(claude-3-7-sonnet-20250219) - (deepseek-chat),1,2.5500000000000167,1.2355931975953405,Inf,2.0637860462187065,0.5629206871885547
(claude-3-7-sonnet-20250219) - (deepseek-reasoner),1,4.7800000000000065,1.235593197595341,Inf,3.868587176833475,0.0031745661611014943
(claude-3-7-sonnet-20250219) - (gemini-1.5-pro),1,5.309999999999993,1.2355931975953407,Inf,4.297530943302449,5.699468167164444e-4
(claude-3-7-sonnet-20250219) - (gemini-2.0-flash),1,2.240000000000016,1.2355931975953407,Inf,1.8128944092274137,0.8381773044577754
(claude-3-7-sonnet-20250219) - (gemini-2.5-flash),1,-9.02999999999999,1.2355931975953407,Inf,-7.308230587197951,1.4075516152612682e-11
(claude-3-7-sonnet-20250219) - (gemini-2.5-pro),1,-14.11,1.2355931975953407,Inf,-11.4196161224101,2.335932523925281e-28
(claude-3-7-sonnet-20250219) - (gpt-3.5-turbo),1,12.569999999999999,1.2355931975953411,Inf,10.173251216066257,1.6445949188356423e-22
(claude-3-7-sonnet-20250219) - (gpt-4o),1,8.05,1.2355931975953405,Inf,6.515089283160973,3.41438243582941e-9
(claude-3-7-sonnet-20250219) - (gpt-4o-mini),1,9.350000000000009,1.2355931975953407,Inf,7.56721550280188,2.0209379807067357e-12
(claude-3-7-sonnet-20250219) - o1,1,4.309999999999997,1.235593197595341,Inf,3.4882030820402186,0.01264324308027433
(claude-3-7-sonnet-20250219) - o3,1,-66.64999999999998,1.235593197595341,Inf,-53.94170195312776,0
(claude-3-7-sonnet-20250219) - (o4-mini),1,-3.3499999999999943,1.235593197595341,Inf,-2.7112483352284733,0.14746688681094777
(claude-sonnet-4-20250514) - (deepseek-chat),1,0.809999999999997,1.2355931975953403,Inf,0.655555567622406,1
(claude-sonnet-4-20250514) - (deepseek-reasoner),1,3.0399999999999867,1.2355931975953405,Inf,2.460356698237176,0.24983818082289586
(claude-sonnet-4-20250514) - (gemini-1.5-pro),1,3.5699999999999736,1.2355931975953405,Inf,2.8893004647061487,0.08880299005880744
(claude-sonnet-4-20250514) - (gemini-2.0-flash),1,0.49999999999999645,1.2355931975953405,Inf,0.4046639306311134,1
(claude-sonnet-4-20250514) - (gemini-2.5-flash),1,-10.77000000000001,1.2355931975953405,Inf,-8.716461065794253,1.664789153679858e-16
(claude-sonnet-4-20250514) - (gemini-2.5-pro),1,-15.85000000000002,1.2355931975953405,Inf,-12.827846601006401,8.35868844337425e-36
(claude-sonnet-4-20250514) - (gpt-3.5-turbo),1,10.829999999999979,1.235593197595341,Inf,8.765020737469959,1.1017794716481689e-16
(claude-sonnet-4-20250514) - (gpt-4o),1,6.309999999999981,1.2355931975953405,Inf,5.106858804564672,1.3102332733101679e-5
(claude-sonnet-4-20250514) - (gpt-4o-mini),1,7.609999999999989,1.2355931975953405,Inf,6.158985024205581,3.2213565538644e-8
(claude-sonnet-4-20250514) - o1,1,2.569999999999977,1.2355931975953405,Inf,2.079972603443919,0.5629206871885547
(claude-sonnet-4-20250514) - o3,1,-68.39,1.2355931975953405,Inf,-55.349932431724085,0
(claude-sonnet-4-20250514) - (o4-mini),1,-5.090000000000014,1.2355931975953405,Inf,-4.119478813824775,0.0012151370737514121
(deepseek-chat) - (deepseek-reasoner),1,2.2299999999999898,1.2355931975953405,Inf,1.8048011306147702,0.8381773044577754
(deepseek-chat) - (gemini-1.5-pro),1,2.7599999999999767,1.2355931975953405,Inf,2.233744897083743,0.43349767180400633
(deepseek-chat) - (gemini-2.0-flash),1,-0.3100000000000005,1.23559319759534,Inf,-0.2508916369912926,1
(deepseek-chat) - (gemini-2.5-flash),1,-11.580000000000007,1.2355931975953405,Inf,-9.372016633416658,4.411901532812415e-19
(deepseek-chat) - (gemini-2.5-pro),1,-16.660000000000018,1.2355931975953403,Inf,-13.48340216862881,1.527729731113575e-39
(deepseek-chat) - (gpt-3.5-turbo),1,10.019999999999982,1.2355931975953407,Inf,8.109465169847553,2.74552476899148e-14
(deepseek-chat) - (gpt-4o),1,5.499999999999984,1.2355931975953403,Inf,4.451303236942267,2.901924366065756e-4
(deepseek-chat) - (gpt-4o-mini),1,6.799999999999992,1.2355931975953403,Inf,5.503429456583175,1.527141794838501e-6
(deepseek-chat) - o1,1,1.7599999999999802,1.2355931975953405,Inf,1.4244170358215134,1
(deepseek-chat) - o3,1,-69.19999999999999,1.2355931975953405,Inf,-56.005487999346485,0
(deepseek-chat) - (o4-mini),1,-5.900000000000011,1.2355931975953405,Inf,-4.775034381447181,7.007385624529174e-5
(deepseek-reasoner) - (gemini-1.5-pro),1,0.5299999999999869,1.2355931975953407,Inf,0.4289437664689726,1
(deepseek-reasoner) - (gemini-2.0-flash),1,-2.5399999999999903,1.2355931975953405,Inf,-2.055692767606063,0.5629206871885547
