model,breakpoint,std_error
claude-3-5-haiku-20241022,168.43072670952856,11.60407518017162
claude-3-7-sonnet-20250219,3632.070719564022,10.910182234383798
claude-sonnet-4-20250514,3189.0000202209926,19.323471210174144
deepseek-chat,415.6,19.941932794587114
deepseek-reasoner,5038.426079908963,16.24011398899247
gemini-1.5-pro,3220.5421515412218,15.792711740334518
gemini-2.0-flash,3394.494827369533,9.805432103986814
gemini-2.5-flash,4996.687803947887,14.55838358042184
gemini-2.5-pro,1121.5227337439073,11.408157875263255
gpt-3.5-turbo,1054.403501492464,8.57857923582367
gpt-4o,2588.655155182365,6.238350862806223
gpt-4o-mini,584.2400860159744,8.370679340279906
o1,2109.502306442841,6.281654904066374
o3,6466.536035544665,12.77373713412766
o4-mini,3931.3446948489795,14.126140415554783
